type,stem_gloss
high_crit_words,aah
high_crit_words,achoo
high_crit_words,ahhah
high_crit_words,air
high_crit_words,am
high_crit_words,andy
high_crit_words,anna
high_crit_words,anna's
high_crit_words,anne
high_crit_words,as_well
high_crit_words,ask
high_crit_words,ate
high_crit_words,ba
high_crit_words,badge
high_crit_words,bare
high_crit_words,bash
high_crit_words,basket
high_crit_words,beepbeep
high_crit_words,behind
high_crit_words,bend
high_crit_words,bertie
high_crit_words,biscuit
high_crit_words,bobby
high_crit_words,bought
high_crit_words,bounce
high_crit_words,break
high_crit_words,brm
high_crit_words,brumm
high_crit_words,build
high_crit_words,but
high_crit_words,buy
high_crit_words,caroline
high_crit_words,caroline's
high_crit_words,cathy
high_crit_words,chimney
high_crit_words,choochoo
high_crit_words,christmas
high_crit_words,clay
high_crit_words,cock_a_doodle_doo
high_crit_words,coo
high_crit_words,corn
high_crit_words,couch
high_crit_words,could
high_crit_words,cute
high_crit_words,dadda
high_crit_words,dark
high_crit_words,david
high_crit_words,dead
high_crit_words,didn't
high_crit_words,dig
high_crit_words,doctor
high_crit_words,doesn't
high_crit_words,dolphin
high_crit_words,dough
high_crit_words,dumpty
high_crit_words,ear
high_crit_words,edge
high_crit_words,edward
high_crit_words,eleven
high_crit_words,ernie
high_crit_words,excuse
high_crit_words,face
high_crit_words,fast
high_crit_words,feed
high_crit_words,feel
high_crit_words,fence
high_crit_words,field
high_crit_words,food
high_crit_words,forgot
high_crit_words,fork
high_crit_words,front
high_crit_words,frosty
high_crit_words,giddyup
high_crit_words,ginger
high_crit_words,good_night
high_crit_words,gordon
high_crit_words,gorilla
high_crit_words,granddad
high_crit_words,harold
high_crit_words,hear
high_crit_words,henry
high_crit_words,hill
high_crit_words,hit
high_crit_words,humpty
high_crit_words,hungry
high_crit_words,i've
high_crit_words,if
high_crit_words,jacket
high_crit_words,james
high_crit_words,jenny
high_crit_words,jess
high_crit_words,jill
high_crit_words,jim
high_crit_words,k
high_crit_words,keep
high_crit_words,kitten
high_crit_words,ladder
high_crit_words,live
high_crit_words,many
high_crit_words,matte
high_crit_words,medicine
high_crit_words,member
high_crit_words,men
high_crit_words,mirror
high_crit_words,mother
high_crit_words,must
high_crit_words,neenaw
high_crit_words,never
high_crit_words,next
high_crit_words,owie
high_crit_words,pajama
high_crit_words,part
high_crit_words,party
high_crit_words,past
high_crit_words,pat
high_crit_words,peep
high_crit_words,pencil
high_crit_words,pepper
high_crit_words,pet
high_crit_words,phone
high_crit_words,pick
high_crit_words,pingu
high_crit_words,pipe
high_crit_words,plane
high_crit_words,poop
high_crit_words,post
high_crit_words,postman_pat
high_crit_words,pot
high_crit_words,pound
high_crit_words,present
high_crit_words,rachel
high_crit_words,rainbow
high_crit_words,ramp
high_crit_words,rocket
high_crit_words,sad
high_crit_words,salad
high_crit_words,salt
high_crit_words,sam
high_crit_words,santa
high_crit_words,sat
high_crit_words,save
high_crit_words,scissor
high_crit_words,screw
high_crit_words,sea
high_crit_words,set
high_crit_words,shall
high_crit_words,shelf
high_crit_words,shoot
high_crit_words,shoppe
high_crit_words,short
high_crit_words,shoulder
high_crit_words,sick
high_crit_words,sir
high_crit_words,slipper
high_crit_words,smile
high_crit_words,sore
high_crit_words,soup
high_crit_words,splash
high_crit_words,steady
high_crit_words,stock
high_crit_words,stone
high_crit_words,store
high_crit_words,street
high_crit_words,sue
high_crit_words,sweetie
high_crit_words,swim
high_crit_words,taste
high_crit_words,teach
high_crit_words,tear
high_crit_words,tell
high_crit_words,telly
high_crit_words,their
high_crit_words,then
high_crit_words,thirteen
high_crit_words,thumb
high_crit_words,tin
high_crit_words,tiny
high_crit_words,tip
high_crit_words,together
high_crit_words,tongue
high_crit_words,trouser
high_crit_words,tv
high_crit_words,twelve
high_crit_words,twenty
high_crit_words,uhhuh
high_crit_words,uhhum
high_crit_words,uhuh
high_crit_words,van
high_crit_words,video
high_crit_words,vroom
high_crit_words,wah
high_crit_words,wait
high_crit_words,wall
high_crit_words,warm
high_crit_words,whistle
high_crit_words,whoop
high_crit_words,whose
high_crit_words,would
high_crit_words,writ
high_crit_words,write
high_crit_words,www
high_crit_words,ya
high_crit_words,yet
high_crit_words,yoghurt
high_crit_words,zoom
low_crit_words,actual
low_crit_words,alex
low_crit_words,alligator
low_crit_words,alphabet
low_crit_words,always
low_crit_words,ay
low_crit_words,backpack
low_crit_words,bad
low_crit_words,bagel
low_crit_words,bah
low_crit_words,barney
low_crit_words,battery
low_crit_words,bean
low_crit_words,been
low_crit_words,belly
low_crit_words,biggest
low_crit_words,billy
low_crit_words,birdy
low_crit_words,bock
low_crit_words,body
low_crit_words,boing
low_crit_words,bucket
low_crit_words,bumble
low_crit_words,bush
low_crit_words,busy
low_crit_words,buzz
low_crit_words,careful
low_crit_words,castle
low_crit_words,chalk
low_crit_words,cheeky
low_crit_words,cheerio
low_crit_words,chew
low_crit_words,clip
low_crit_words,clown
low_crit_words,crane
low_crit_words,crocodile
low_crit_words,crunchy
low_crit_words,curtain
low_crit_words,cutting
low_crit_words,de
low_crit_words,dere
low_crit_words,dipsy
low_crit_words,doe
low_crit_words,dong
low_crit_words,dragon
low_crit_words,dropped
low_crit_words,drum
low_crit_words,duckie
low_crit_words,ee
low_crit_words,eee
low_crit_words,elmo
low_crit_words,em
low_crit_words,end
low_crit_words,fair
low_crit_words,flag
low_crit_words,flap
low_crit_words,foot
low_crit_words,friend
low_crit_words,garden
low_crit_words,ghost
low_crit_words,glue
low_crit_words,gobble
low_crit_words,god
low_crit_words,gotta
low_crit_words,granny
low_crit_words,gum
low_crit_words,halloween
low_crit_words,honk
low_crit_words,hoo
low_crit_words,iron
low_crit_words,jack
low_crit_words,john
low_crit_words,kite
low_crit_words,lap
low_crit_words,lay
low_crit_words,leaf
low_crit_words,lee
low_crit_words,left
low_crit_words,lego
low_crit_words,lift
low_crit_words,lily
low_crit_words,list
low_crit_words,llama
low_crit_words,made
low_crit_words,mail
low_crit_words,march
low_crit_words,mark
low_crit_words,market
low_crit_words,mean
low_crit_words,measure
low_crit_words,meat
low_crit_words,mo
low_crit_words,monster
low_crit_words,motorcycle
low_crit_words,mud
low_crit_words,muddy
low_crit_words,myself
low_crit_words,nappie
low_crit_words,noddy
low_crit_words,octopus
low_crit_words,opposite
low_crit_words,owl
low_crit_words,oy
low_crit_words,pasta
low_crit_words,pickle
low_crit_words,picnic
low_crit_words,piglet
low_crit_words,pinch
low_crit_words,pirate
low_crit_words,pizza
low_crit_words,polar
low_crit_words,pony
low_crit_words,poppy
low_crit_words,potato
low_crit_words,pour
low_crit_words,prize
low_crit_words,pumpkin
low_crit_words,puppet
low_crit_words,quick
low_crit_words,race
low_crit_words,reach
low_crit_words,roar
low_crit_words,rolly
low_crit_words,roo
low_crit_words,rug
low_crit_words,sally
low_crit_words,same
low_crit_words,sandy
low_crit_words,scar
low_crit_words,scary
low_crit_words,school
low_crit_words,scoop
low_crit_words,seal
low_crit_words,shape
low_crit_words,share
low_crit_words,shark
low_crit_words,shut
low_crit_words,sink
low_crit_words,small
low_crit_words,smell
low_crit_words,smelly
low_crit_words,snail
low_crit_words,snap
low_crit_words,somebody
low_crit_words,someone
low_crit_words,somewhere
low_crit_words,sprinkle
low_crit_words,squeeze
low_crit_words,squirrel
low_crit_words,squish
low_crit_words,ss
low_crit_words,starfish
low_crit_words,still
low_crit_words,story
low_crit_words,straight
low_crit_words,stuff
low_crit_words,suck
low_crit_words,sweep
low_crit_words,tall
low_crit_words,tennis
low_crit_words,tent
low_crit_words,they're
low_crit_words,today
low_crit_words,told
low_crit_words,tweet
low_crit_words,twinkle
low_crit_words,ugh
low_crit_words,weasel
low_crit_words,welcome
low_crit_words,whisk
low_crit_words,whoa
low_crit_words,wide
low_crit_words,wiggle
low_crit_words,witch
low_crit_words,wood
low_crit_words,worm
low_crit_words,yay
low_crit_words,year
low_crit_words,yogurt
low_crit_words,you're
low_crit_words,yuck
