term,estimate,std.error,statistic,p.value
(Intercept),0.5992847193950813,0.5635766214075866,1.0633597928500127,0.30854958090312684
log_mtld_t1,0.512186000640388,0.14416938601605853,3.552668252213666,0.003977085917664718
age_diff,0.0027225135901846765,0.0010842396784126246,2.5109887088531555,0.02735811834795087
prop_large_t,1.350885397740288,0.9334342522812329,1.4472207275861588,0.1734500210061923
mean_log_word_freq_t1,0.06794084424420566,0.08573802250193543,0.7924237375858765,0.44349795631080846
(Intercept),1.0398442091380045,0.4770662855962674,2.179664001698091,0.049923852282351654
log_mtld_t1,0.5376623744702349,0.17674708116936852,3.041987290047625,0.010236003610276559
age_diff,0.003246497916498701,8.614422669963739e-4,3.7686772995460256,0.002678238061313442
prop_large_t,0.5978011766480948,1.3909798873495414,0.42976982060264146,0.6749792054471528
mean_log_word_freq_t1,-0.03709694159880724,0.07309140724788168,-0.5075417616874844,0.6209735336691118
(Intercept),1.0867799212162217,0.4919820796686738,2.2089827376397846,0.049306158140678506
log_mtld_t1,0.4867151499451962,0.12465118718470046,3.904617043269806,0.002456980485460082
age_diff,0.002068605394627697,9.119054997977699e-4,2.2684427225040804,0.04442885611134725
prop_large_t,5.149348128481434,1.4588326174661344,3.52977309859263,0.0047167188090626085
mean_log_word_freq_t1,-0.059517437637314756,0.09156383356375337,-0.6500103296338549,0.529026641462385
(Intercept),1.4246108297334836,0.40813158666608423,3.49056744509961,0.003602106217097138
log_mtld_t1,0.5767950921465439,0.08783782326431872,6.566591369311042,1.2563235830623174e-5
age_diff,4.057753021540948e-4,9.268386722298184e-4,0.43780575229761126,0.6682060070019932
prop_large_t,-2.1395127804762493,2.32435440040463,-0.9204761460230837,0.3729132661541613
mean_log_word_freq_t1,-0.006221557041180591,0.09428595623664501,-0.06598604171299195,0.9483219764814588
(Intercept),2.049128087457839,0.7557294899784306,2.7114570949405765,0.017800713919913187
log_mtld_t1,0.6813425624419883,0.1880948960708108,3.6223341338591553,0.0030967593961339973
age_diff,0.0033798542855170487,0.002017987834267343,1.6748635587013583,0.11783405068962212
prop_large_t,-4.043456923820375,2.4092656605499094,-1.6782943408978257,0.11715187855040224
mean_log_word_freq_t1,-0.23041250667832786,0.1313073256070198,-1.7547574410883426,0.10282395666254444
(Intercept),1.3130088777141589,0.5957391194351485,2.203999762444829,0.043561689624581935
log_mtld_t1,0.5270174077797277,0.16282200584861847,3.2367701468419137,0.00553122476415151
age_diff,-5.323893641220592e-4,0.001858787987806632,-0.28641747612662277,0.778476422020141
prop_large_t,7.028097596987753,3.034436297418124,2.316113079377435,0.03511250970069464
mean_log_word_freq_t1,-0.11612764064682099,0.10794200824228897,-1.0758336123055852,0.2990019779690431
(Intercept),1.2593121711617126,0.540855806113802,2.3283695153616217,0.03539133684883757
log_mtld_t1,0.6512891751097427,0.17384828471791336,3.7463077427915157,0.0021691672281515095
age_diff,0.0036785246423875146,0.001199706979367102,3.0661859151041178,0.008376343976463497
prop_large_t,4.078403156862183,3.671127322042642,1.1109402641456,0.28531000649969407
mean_log_word_freq_t1,-0.18765667563661906,0.12102424334540009,-1.5505709471866038,0.1433107510269331
(Intercept),1.294533594373194,0.6411809428743191,2.018983266361585,0.06306405579874802
log_mtld_t1,0.6747838421706235,0.09308691371349387,7.248965673601518,4.230628139330274e-6
age_diff,0.002367357376975959,0.0013112413168298654,1.8054322622318084,0.09255058580645333
prop_large_t,4.587723112205542,1.6660611260397398,2.7536343297983614,0.01553372751488927
mean_log_word_freq_t1,-0.1741027882147484,0.12692505129009324,-1.371697599844401,0.19174117679480818
(Intercept),0.6376508316869489,0.7314580385241602,0.8717531260897985,0.40044869808089256
log_mtld_t1,0.6534274515873327,0.1546199573160565,4.226022713560002,0.0011762635244949992
age_diff,0.002624025359969126,0.001868002873141586,1.404722336190024,0.18545692190658883
prop_large_t,-5.550009404326824,4.27005071007087,-1.299752574656124,0.21809929484622062
mean_log_word_freq_t1,0.11297905155900753,0.15660415020305793,0.7214307629300711,0.48446428497098726
(Intercept),1.3186391722414357,0.6061561549950876,2.175411668057915,0.047224237332819836
log_mtld_t1,0.472781509010656,0.1539182620274783,3.071640121080971,0.0082861390884985
age_diff,0.0028659355625389265,0.0013457927039561154,2.129552013556154,0.051436633898112365
prop_large_t,2.4868138442138026,1.7357772805169422,1.432680259228413,0.17389977954991911
mean_log_word_freq_t1,-0.11691759904280558,0.11703981771430763,-0.9989557513512163,0.3347700310361904
